ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,TARGET,AGE_YEARS,YEARS_EMPLOYED,IS_PENSIONER_NO_JOB
1000000,F,N,N,2,275900.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,High skill tech staff,4.0,1,64,0,1
1000001,F,Y,Y,0,167100.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Core staff,2.0,0,41,14,0
1000002,F,Y,Y,0,161800.0,Working,Higher education,Single / not married,House / apartment,1,1,1,0,Medicine staff,2.0,1,25,33,0
1000003,F,N,Y,0,89000.0,Commercial associate,Incomplete higher,Married,House / apartment,1,0,0,0,Managers,2.0,1,30,24,0
1000004,M,Y,Y,0,93400.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,2.0,1,40,13,0
1000005,F,Y,Y,2,263400.0,Working,Higher education,Married,House / apartment,1,1,1,0,Cleaning staff,4.0,0,56,24,0
1000006,F,Y,Y,2,301500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,1,Managers,4.0,0,66,17,0
1000007,F,N,N,0,202300.0,Working,Higher education,Married,Municipal apartment,1,0,0,0,Medicine staff,2.0,0,21,33,0
1000008,M,N,Y,0,141600.0,Working,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Cleaning staff,2.0,1,25,38,0
1000009,F,N,N,1,155300.0,Working,Higher education,Married,House / apartment,1,0,1,0,Accountants,2.0,0,69,6,0
1000010,M,N,N,1,164800.0,Commercial associate,Secondary / secondary special,Married,Office apartment,1,0,0,1,Sales staff,3.0,0,68,39,0
1000011,F,Y,Y,0,159700.0,Working,Higher education,Separated,House / apartment,1,0,0,0,Core staff,2.0,1,69,38,0
1000012,F,N,N,0,81300.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,1,Managers,1.0,1,23,25,0
1000013,F,Y,Y,0,192600.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2.0,0,51,30,0
1000014,F,Y,N,0,113700.0,Pensioner,Higher education,Civil marriage,House / apartment,1,1,0,1,High skill tech staff,2.0,1,58,0,1
1000015,M,Y,N,0,143200.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2.0,1,49,24,0
1000016,F,N,N,0,181000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,1,Laborers,2.0,1,68,3,0
1000017,M,N,Y,1,75100.0,Working,Higher education,Married,House / apartment,1,0,0,0,Sales staff,2.0,1,34,16,0
1000018,F,N,Y,0,112700.0,State servant,Higher education,Separated,House / apartment,1,0,1,0,Core staff,2.0,0,52,35,0
1000019,F,Y,Y,0,229200.0,Working,Higher education,Married,House / apartment,1,0,0,0,Sales staff,2.0,0,47,22,0
1000020,F,Y,N,0,98500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Security staff,2.0,1,39,21,0
1000021,M,N,Y,1,183400.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,High skill tech staff,3.0,0,42,1,0
1000022,F,Y,Y,0,128600.0,Working,Incomplete higher,Married,Rented apartment,1,0,1,0,Sales staff,2.0,1,52,21,0
1000023,F,Y,Y,0,199500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Managers,2.0,0,22,3,0
1000024,F,N,Y,0,107900.0,Commercial associate,Higher education,Widow,House / apartment,1,0,0,0,Drivers,2.0,1,23,15,0
1000025,M,N,Y,0,121900.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,1.0,1,57,12,0
1000026,F,N,Y,0,292300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Cooking staff,2.0,0,35,21,0
1000027,M,N,N,0,205800.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,1,Cooking staff,2.0,1,25,39,0
1000028,M,Y,Y,0,284900.0,Commercial associate,Higher education,Married,Municipal apartment,1,0,0,0,Cooking staff,2.0,0,51,35,0
1000029,F,N,Y,0,180600.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Cooking staff,1.0,1,29,10,0
1000030,F,Y,Y,0,131000.0,Working,Higher education,Married,House / apartment,1,0,1,0,Cleaning staff,2.0,0,65,33,0
1000031,F,N,Y,0,128200.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2.0,0,40,36,0
1000032,M,N,N,0,134100.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Cooking staff,2.0,0,27,25,0
1000033,M,Y,Y,4,134400.0,Working,Lower secondary,Married,With parents,1,1,0,0,Cleaning staff,6.0,0,60,34,0
1000034,F,Y,Y,1,271600.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Accountants,3.0,0,48,18,0
1000035,M,N,Y,1,164100.0,Working,Secondary / secondary special,Single / not married,With parents,1,1,1,0,Other,3.0,1,68,30,0
1000036,M,N,Y,0,32500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Other,1.0,0,25,0,1
1000037,F,N,N,3,132300.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,5.0,0,52,29,0
1000038,M,N,N,1,248300.0,State servant,Higher education,Married,House / apartment,1,1,1,0,Laborers,3.0,0,66,21,0
1000039,F,N,Y,0,73800.0,State servant,Secondary / secondary special,Married,With parents,1,0,1,0,Security staff,1.0,1,55,17,0
1000040,F,Y,Y,1,246100.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Security staff,2.0,0,41,0,1
1000041,F,N,Y,0,281800.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,1,Cleaning staff,1.0,0,35,10,0
1000042,F,N,N,3,160800.0,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,Drivers,5.0,0,65,25,0
1000043,M,Y,Y,0,216800.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,1,Cooking staff,2.0,0,22,8,0
1000044,F,Y,N,2,246100.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,3.0,0,31,1,0
1000045,F,N,Y,3,148400.0,Working,Higher education,Married,Municipal apartment,1,0,0,0,Sales staff,5.0,1,39,29,0
1000046,M,N,N,0,150500.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Cleaning staff,2.0,0,67,12,0
1000047,M,Y,Y,2,160600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Accountants,4.0,0,67,33,0
1000048,F,N,Y,0,245900.0,Commercial associate,Higher education,Married,With parents,1,0,1,1,Core staff,2.0,0,48,22,0
1000049,M,N,Y,1,281900.0,Working,Incomplete higher,Married,Municipal apartment,1,0,1,0,High skill tech staff,2.0,0,35,39,0
